ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2015,2015,0,Total,55281,8085.0,"Census Tract 513, Queens County, NY",14000US36081051300,36081051300,NYC
2015,2015,0,Total,39819,6462.0,"Census Tract 854, Kings County, NY",14000US36047085400,36047085400,NYC
2015,2015,0,Total,151250,33516.0,"Census Tract 749, Queens County, NY",14000US36081074900,36081074900,NYC
2015,2015,0,Total,29741,8056.999999999999,"Census Tract 363, Kings County, NY",14000US36047036300,36047036300,NYC
2015,2015,0,Total,96833,7772.000000000001,"Census Tract 146.06, Richmond County, NY",14000US36085014606,36085014606,NYC
2015,2015,0,Total,46632,5641.0,"Census Tract 157, Queens County, NY",14000US36081015700,36081015700,NYC
2015,2015,0,Total,52554,10896.0,"Census Tract 856, Kings County, NY",14000US36047085600,36047085600,NYC
2015,2015,0,Total,111950,17811.0,"Census Tract 131, Kings County, NY",14000US36047013100,36047013100,NYC
2015,2015,0,Total,76250,14168.0,"Census Tract 1099, Queens County, NY",14000US36081109900,36081109900,NYC
2015,2015,0,Total,68625,20046.0,"Census Tract 512, Queens County, NY",14000US36081051200,36081051200,NYC
2015,2015,0,Total,33750,15510.000000000002,"Census Tract 364, Kings County, NY",14000US36047036400,36047036400,NYC
2015,2015,0,Total,52083,7677.999999999999,"Census Tract 858, Kings County, NY",14000US36047085800,36047085800,NYC
2015,2015,0,Total,70552,22081.0,"Census Tract 398, Bronx County, NY",14000US36005039800,36005039800,NYC
2015,2015,0,Total,79297,15559.000000000002,"Census Tract 1463, Queens County, NY",14000US36081146300,36081146300,NYC
2015,2015,0,Total,50391,10962.0,"Census Tract 156, Queens County, NY",14000US36081015600,36081015600,NYC
2015,2015,0,Total,57375,12305.0,"Census Tract 747, Queens County, NY",14000US36081074700,36081074700,NYC
2015,2015,0,Total,42270,4098.0,"Census Tract 860, Kings County, NY",14000US36047086000,36047086000,NYC
2015,2015,0,Total,56167,15171.000000000002,"Census Tract 132, Kings County, NY",14000US36047013200,36047013200,NYC
2015,2015,0,Total,39019,3833.0,"Census Tract 365.01, Kings County, NY",14000US36047036501,36047036501,NYC
2015,2015,0,Total,52450,9492.0,"Census Tract 266.01, Bronx County, NY",14000US36005026601,36005026601,NYC
2015,2015,0,Total,74271,9800.0,"Census Tract 155, Queens County, NY",14000US36081015500,36081015500,NYC
2015,2015,0,Total,44018,10451.0,"Census Tract 862, Kings County, NY",14000US36047086200,36047086200,NYC
2015,2015,0,Total,52222,17649.0,"Census Tract 213, Richmond County, NY",14000US36085021300,36085021300,NYC
2015,2015,0,Total,70337,10193.0,"Census Tract 511, Queens County, NY",14000US36081051100,36081051100,NYC
2015,2015,0,Total,80268,12760.0,"Census Tract 74, Richmond County, NY",14000US36085007400,36085007400,NYC
2015,2015,0,Total,27364,24430.0,"Census Tract 365.02, Kings County, NY",14000US36047036502,36047036502,NYC
2015,2015,0,Total,42794,9751.0,"Census Tract 864, Kings County, NY",14000US36047086400,36047086400,NYC
2015,2015,0,Total,22747,4157.0,"Census Tract 399.01, Bronx County, NY",14000US36005039901,36005039901,NYC
2015,2015,0,Total,144293,15250.999999999998,"Census Tract 133, Kings County, NY",14000US36047013300,36047013300,NYC
2015,2015,0,Total,53095,12530.0,"Census Tract 154, Queens County, NY",14000US36081015400,36081015400,NYC
2015,2015,0,Total,27212,7590.0,"Census Tract 149, Bronx County, NY",14000US36005014900,36005014900,NYC
2015,2015,0,Total,46438,9742.0,"Census Tract 866, Kings County, NY",14000US36047086600,36047086600,NYC
2015,2015,0,Total,115069,44072.0,"Census Tract 510, Queens County, NY",14000US36081051000,36081051000,NYC
2015,2015,0,Total,36487,5549.0,"Census Tract 366, Kings County, NY",14000US36047036600,36047036600,NYC
2015,2015,0,Total,48396,3518.0,"Census Tract 210.01, Bronx County, NY",14000US36005021001,36005021001,NYC
2015,2015,0,Total,51144,7367.0,"Census Tract 153, Queens County, NY",14000US36081015300,36081015300,NYC
2015,2015,0,Total,47679,18629.0,"Census Tract 868, Kings County, NY",14000US36047086800,36047086800,NYC
2015,2015,0,Total,34141,11975.0,"Census Tract 745, Queens County, NY",14000US36081074500,36081074500,NYC
2015,2015,0,Total,100089,12805.0,"Census Tract 1097, Queens County, NY",14000US36081109700,36081109700,NYC
2015,2015,0,Total,66172,7519.0,"Census Tract 134, Kings County, NY",14000US36047013400,36047013400,NYC
2015,2015,0,Total,51140,12786.0,"Census Tract 367, Kings County, NY",14000US36047036700,36047036700,NYC
2015,2015,0,Total,33750,7342.0,"Census Tract 870, Kings County, NY",14000US36047087000,36047087000,NYC
2015,2015,0,Total,40755,9476.0,"Census Tract 266.02, Bronx County, NY",14000US36005026602,36005026602,NYC
2015,2015,0,Total,24799,12346.0,"Census Tract 399.02, Bronx County, NY",14000US36005039902,36005039902,NYC
2015,2015,0,Total,59214,6825.000000000001,"Census Tract 152, Queens County, NY",14000US36081015200,36081015200,NYC
2015,2015,0,Total,66250,25964.0,"Census Tract 508, Queens County, NY",14000US36081050800,36081050800,NYC
2015,2015,0,Total,42891,11694.0,"Census Tract 872, Kings County, NY",14000US36047087200,36047087200,NYC
2015,2015,0,Total,21016,4709.0,"Census Tract 67, Bronx County, NY",14000US36005006700,36005006700,NYC
2015,2015,0,Total,31059,5566.0,"Census Tract 369, Kings County, NY",14000US36047036900,36047036900,NYC
2015,2015,0,Total,58867,6282.0,"Census Tract 743, Queens County, NY",14000US36081074300,36081074300,NYC
2015,2015,0,Total,60771,6123.0,"Census Tract 151, Queens County, NY",14000US36081015100,36081015100,NYC
2015,2015,0,Total,30150,13745.000000000002,"Census Tract 874.01, Kings County, NY",14000US36047087401,36047087401,NYC
2015,2015,0,Total,126111,28340.0,"Census Tract 135, Kings County, NY",14000US36047013500,36047013500,NYC
2015,2015,0,Total,18086,3694.0,"Census Tract 20, Bronx County, NY",14000US36005002000,36005002000,NYC
2015,2015,0,Total,75865,10041.0,"Census Tract 507, Queens County, NY",14000US36081050700,36081050700,NYC
2015,2015,0,Total,66836,8564.0,"Census Tract 370, Kings County, NY",14000US36047037000,36047037000,NYC
2015,2015,0,Total,40109,9367.0,"Census Tract 876, Kings County, NY",14000US36047087600,36047087600,NYC
2015,2015,0,Total,85128,18149.0,"Census Tract 1459, Queens County, NY",14000US36081145900,36081145900,NYC
2015,2015,0,Total,95109,15822.0,"Census Tract 1093, Queens County, NY",14000US36081109300,36081109300,NYC
2015,2015,0,Total,74224,7238.0,"Census Tract 150, Queens County, NY",14000US36081015000,36081015000,NYC
2015,2015,0,Total,33487,12414.0,"Census Tract 401, Bronx County, NY",14000US36005040100,36005040100,NYC
2015,2015,0,Total,40208,8873.0,"Census Tract 878, Kings County, NY",14000US36047087800,36047087800,NYC
2015,2015,0,Total,66375,8935.0,"Census Tract 136, Kings County, NY",14000US36047013600,36047013600,NYC
2015,2015,0,Total,46641,12012.0,"Census Tract 371, Kings County, NY",14000US36047037100,36047037100,NYC
2015,2015,0,Total,27000,12365.0,"Census Tract 90, Bronx County, NY",14000US36005009000,36005009000,NYC
2015,2015,0,Total,62955,17388.0,"Census Tract 149, Queens County, NY",14000US36081014900,36081014900,NYC
2015,2015,0,Total,51827,9348.0,"Census Tract 880, Kings County, NY",14000US36047088000,36047088000,NYC
2015,2015,0,Total,37061,4534.0,"Census Tract 267.01, Bronx County, NY",14000US36005026701,36005026701,NYC
2015,2015,0,Total,81875,14483.000000000002,"Census Tract 506, Queens County, NY",14000US36081050600,36081050600,NYC
2015,2015,0,Total,69336,6647.0,"Census Tract 741, Queens County, NY",14000US36081074100,36081074100,NYC
2015,2015,0,Total,29057,3619.0,"Census Tract 373, Kings County, NY",14000US36047037300,36047037300,NYC
2015,2015,0,Total,46750,8036.0,"Census Tract 882, Kings County, NY",14000US36047088200,36047088200,NYC
2015,2015,0,Total,63592,11707.0,"Census Tract 70, Richmond County, NY",14000US36085007000,36085007000,NYC
2015,2015,0,Total,99648,12730.0,"Census Tract 137, Kings County, NY",14000US36047013700,36047013700,NYC
2015,2015,0,Total,57902,16007.0,"Census Tract 148, Queens County, NY",14000US36081014800,36081014800,NYC
2015,2015,0,Total,43313,7572.0,"Census Tract 210.02, Bronx County, NY",14000US36005021002,36005021002,NYC
