Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2484,36103124401,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,674,0.025768687999999998,0.040818024,0.11846226,0.020977849,High,High,High,High,67,72,69,70,High,Moderate,High,High,63,55,73,70,Moderate,Moderate,High,High,54,52,70,64,2015,2015,0,Total,80536,6557.0,"Census Tract 1244.01, Suffolk County, NY",14000US36103124401,36103124401,LI
2485,36103124402,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,627,0.026241402999999996,0.021261735,0.18174809,0.026313916,High,Moderate,Very High,High,68,51,82,76,High,Low,Very High,High,63,26,85,76,Moderate,Low,Very High,High,54,26,84,70,2015,2015,0,Total,106050,8388.0,"Census Tract 1244.02, Suffolk County, NY",14000US36103124402,36103124402,LI
2486,36103124500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1192,0.073733062,0.07158295099999999,0.16809353,0.035329834,Very High,Very High,High,Very High,84,95,79,85,Very High,Very High,Very High,Very High,83,93,83,85,High,Very High,Very High,High,74,91,81,80,2015,2015,0,Total,101984,16128.999999999998,"Census Tract 1245, Suffolk County, NY",14000US36103124500,36103124500,LI
2487,36103124601,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,495,0.02751364,0.03096305,0.18003882,0.027287932,High,High,Very High,High,68,61,82,77,High,Low,Very High,High,64,40,84,76,Moderate,Low,Very High,High,55,39,83,71,2015,2015,0,Total,106354,16006.0,"Census Tract 1246.01, Suffolk County, NY",14000US36103124601,36103124601,LI
2488,36103124602,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,675,0.068183728,0.03990379,0.19737031,0.034752481,Very High,High,Very High,Very High,83,71,85,84,Very High,Moderate,Very High,Very High,81,54,88,84,High,Moderate,Very High,High,72,51,87,79,2015,2015,0,Total,95568,13220.0,"Census Tract 1246.02, Suffolk County, NY",14000US36103124602,36103124602,LI
2489,36103134702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,1048,0.07401154900000001,0.039460037,0.19509721,0.035085034,Very High,High,Very High,Very High,84,70,85,85,Very High,Moderate,Very High,Very High,83,53,88,85,High,Moderate,Very High,High,74,51,86,80,2015,2015,0,Total,88333,8887.0,"Census Tract 1347.02, Suffolk County, NY",14000US36103134702,36103134702,LI
2490,36103134703,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,927,0.09171810000000001,0.06760733599999999,0.22741458,0.04379846900000001,Very High,Very High,Very High,Very High,89,93,90,92,Very High,Very High,Very High,Very High,87,90,92,93,High,Very High,Very High,Very High,80,87,93,89,2015,2015,0,Total,153636,27064.0,"Census Tract 1347.03, Suffolk County, NY",14000US36103134703,36103134703,LI
2491,36103134704,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,526,0.081343494,0.045957357000000004,0.12342361,0.028246164,Very High,High,High,High,86,77,70,78,Very High,High,High,High,85,63,74,78,High,Moderate,High,High,77,60,71,72,2015,2015,0,Total,103393,13242.0,"Census Tract 1347.04, Suffolk County, NY",14000US36103134704,36103134704,LI
2492,36103134902,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,874,0.084386371,0.076067217,0.25587779,0.047200408,Very High,Very High,Very High,Very High,87,97,94,94,Very High,Very High,Very High,Very High,86,97,96,94,High,Very High,Very High,Very High,78,94,96,93,2015,2015,0,Total,114286,25342.0,"Census Tract 1349.02, Suffolk County, NY",14000US36103134902,36103134902,LI
2493,36103134903,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36103,36,NY,385,0.076204471,0.079308912,0.098450162,0.028320601,Very High,Very High,High,High,85,98,65,78,Very High,Very High,High,High,84,98,70,78,High,Very High,High,High,75,96,66,72,2015,2015,0,Total,130057,7893.0,"Census Tract 1349.03, Suffolk County, NY",14000US36103134903,36103134903,LI
