,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1642,36081000100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1049,0.15592782,0.050122704,0.26535612,0.053452078,Very High,High,Very High,Very High,98,80,95,98,Very High,High,Very High,Very High,95,70,97,97,Very High,High,Very High,Very High,93,66,97,97
1643,36081000200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,540,-0.043907348,0.030349279,-0.06445761,-0.00912593,Low,High,Low,Low,28,61,33,35,Low,Low,Moderate,Low,28,40,43,40,Low,Low,Moderate,Low,28,39,42,39
1644,36081000400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1229,-0.053649005,0.046080954,-0.23838831,-0.028769672,Low,High,Very Low,Very Low,23,77,12,17,Low,High,Low,Low,25,64,22,23,Low,Moderate,Very Low,Low,24,60,20,22
1645,36081000600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1012,-0.045066554,0.022497721,-0.092712432,-0.013377612,Low,Moderate,Low,Low,27,53,29,30,Low,Low,Low,Low,28,28,39,36,Low,Low,Low,Low,27,28,38,35
1646,36081000700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1042,0.099089183,0.017514402,0.24610412,0.041458145,Very High,Moderate,Very High,Very High,90,48,93,90,Very High,Low,Very High,Very High,89,22,95,91,Very High,Low,Very High,Very High,82,22,95,87
1647,36081000800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,877,-0.015184292,0.023544081,-0.098973617,-0.010691253,Moderate,Moderate,Low,Low,46,54,28,33,Moderate,Low,Low,Low,42,30,38,38,Low,Low,Low,Low,37,30,37,38
1648,36081001000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1038,-0.027135903,0.015918845,-0.096066251,-0.012485601,Low,Moderate,Low,Low,38,46,28,31,Low,Low,Low,Low,35,21,39,37,Low,Low,Low,Low,33,21,38,36
1649,36081001200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1061,-0.01976281,0.025677664,-0.095947549,-0.010618257,Moderate,Moderate,Low,Low,43,56,28,33,Low,Low,Low,Low,40,33,39,38,Low,Low,Low,Low,36,32,38,38
1650,36081001400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,736,0.013340833,0.034907486,-0.064834066,-0.00235562,High,High,Low,Moderate,62,65,33,42,Moderate,Moderate,Moderate,Moderate,57,46,43,46,Moderate,Moderate,Moderate,Moderate,49,45,42,45
1651,36081001600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,457,-0.017725386,0.01036864,-0.11397684,-0.014120084,Moderate,Moderate,Low,Low,44,41,25,30,Moderate,Very Low,Low,Low,41,16,36,35,Low,Very Low,Low,Low,37,16,35,34
1652,36081001800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,771,-0.025620891,0.023502449,-0.11351576,-0.013541806,Low,Moderate,Low,Low,39,54,25,30,Low,Low,Low,Low,36,30,36,36,Low,Low,Low,Low,34,30,35,35
1653,36081001900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,177,0.076444909,-0.02408269,0.28653303,0.039233327,Very High,Very Low,Very High,Very High,85,17,97,89,Very High,Very Low,Very High,Very High,84,5,98,89,High,Very Low,Very High,Very High,75,3,99,85
1654,36081002000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,374,-0.019800341,0.026698533,-0.1533228,-0.017190661,Moderate,Moderate,Very Low,Low,43,57,20,27,Low,Low,Low,Low,40,34,31,32,Low,Low,Low,Low,36,34,30,32
1655,36081002200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,460,0.00781962,0.031125797,-0.14281914,-0.012443703,Moderate,High,Low,Low,59,62,21,31,Moderate,Moderate,Low,Low,54,41,32,37,Moderate,Low,Low,Low,46,40,31,36
1656,36081002400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,450,0.018475678,0.024573924,-0.16397502,-0.014424729,High,Moderate,Very Low,Low,64,55,19,29,Moderate,Low,Low,Low,60,31,29,34,Moderate,Low,Low,Low,51,31,28,34
1657,36081002500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,1754,-0.022331703,0.047095794,-0.58481413,-0.0655137,Moderate,High,Very Low,Very Low,42,78,1,3,Low,High,Very Low,Very Low,38,65,3,6,Low,High,Very Low,Very Low,35,62,3,5
1658,36081002600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36081,36,NY,686,0.004703485,0.032650296,-0.010051576,0.002824451,Moderate,High,Moderate,Moderate,57,63,43,49,Moderate,Moderate,Moderate,Moderate,52,43,51,52,Moderate,Moderate,Moderate,Moderate,45,41,49,49
